Exported by,ExportComments.com,,,,,,,
Source URL,https://m.facebook.com/reel/192061843644567,,,,,,,
Timezone,UTC,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Profile ID,Date,Likes,Stars,Comment,(view source)
22,,Billy Jones,1451131186,01/05/23 04:35:51,3,,"We don't even know how or why we understand or don't understand anything. I don't technically even know what understanding is, or what it is TO understand. Ignorance is the cause of all suffering.",view comment
23,,Ease Finserve,100082871746595,01/05/23 05:04:59,2,,"We Hindu believe since beginning  Lord Shiva ( Matter) and Shakti ( Dark Energy) are Jointly Omnipresent.We see them in everywhere and in every thing.....This is known to every ordinary Hindus.U research in Hindu Scriptures, I hope it will benifit you.",view comment
24,,Casey Conatser,100000585784574,01/05/23 13:59:46,1,,"I think it's regular matter and energy, just in dimensions we don't have access to.",view comment
25,,Michael Filley,1090475915,01/05/23 15:42:30,,,Can dark energy be a barrier that divides other dementions. A combination of all dementions.,view comment
26,,Rick Burden,1540928078,01/05/23 18:15:13,,,What a bunch of made up crap,view comment
27,,Sallyanne Haining,100000599528759,02/05/23 00:38:46,,,Absolutely amazing,view comment
28,,Arthur Guidi,100000346096952,02/05/23 08:59:11,,,Its safe to say that we don't know shit.,view comment
29,,Joe Donald Belcher,1411669668,02/05/23 13:08:36,,,Yet you still say we know something about cosmology. We don't!,view comment
30,,Kerry Kurt,1106299087,02/05/23 13:18:50,,,"when we can imagine a non-binary existence, such as dark and light, and replace it with a continuum of being - we can let go of up and down valuation. ??????????",view comment
31,,Gregory Goetz,100011009106457,02/05/23 14:30:21,1,,Proven science,view comment
32,,Dominic Palladini,549033913,02/05/23 15:52:22,1,,Who was the cameraman for that one?,view comment
33,,Derek Poulin,100017683261217,02/05/23 16:37:42,,,Once you realize it's nothing but a byproduct of energy leaving the mass in which you stand on it's even more spectacular. Dark Energy actively moving through space-time while dark matter is the pinch points not actively moving through space-time of gravity actively leaving your system the fastest at the equator,view comment
34,,John A?tyn,100075961505904,02/05/23 23:46:12,2,,Now imagine a higher power was dark energy and dark matter?,view comment
35,,Platoon Daddy,100053105271927,03/05/23 00:33:37,,,Good talk ????,view comment
36,,Platoon Daddy,100053105271927,03/05/23 00:34:08,,,"
[PHOTO] https://external-fra3-2.xx.fbcdn.net/emg1/v/t13/7658787075078853864?url=https%3A%2F%2Fmedia4.giphy.com%2Fmedia%2Fv1.Y2lkPWNhZmU1MmU5ejk2YTRoOWp1bzk1aTl0OTd3NzlvdmcyN2dtaW5xcDBueXNxZ3ZsZSZlcD12MV9naWZzX3NlYXJjaCZjdD1n%2Fl1IBkgnfxkTSsNfeE%2Fgiphy.gif&fb_obo=1&utld=giphy.com&stp=dst-jpg_flffffff_q75_s792x792&ccb=13-1&oh=06_Q399YG6P4BlmMaVb2PuRZCQoy6xQLwxKcfjPqKCDlKBDojI&oe=66307771&_nc_sid=867500",view comment
37,,Thomas Cully,703481470,03/05/23 01:15:19,,,Cameraman drunk?,view comment
38,,Khalique Panhwar,100002916811047,03/05/23 01:20:11,,,That's like a bacteria in the gut of a cow saying it understands the energies of distant stars and galaxies and black holes and all. Even though every atom we and bacteria are made is substance of the universe.,view comment
39,,Favio Gardilan,100002893428393,03/05/23 02:03:27,,,Chuck Norris understands all that.,view comment
40,,David Bradshaw,100085714073224,03/05/23 10:45:07,,,Don't stress...it keeps mankind humble...which is so badly needed.,view comment
41,,Laurentiu Todie,100064323097248,03/05/23 14:33:48,,,Fun necktie,view comment
42,,Carl Micheal Kelso,570896671,03/05/23 15:51:31,,,Sounds kinda supernatural to me.  Could God/heaven be in this 96%?,view comment
43,,Eldon Arkinstall,1073814290,03/05/23 17:18:58,,,"What a beautiful percentage both are! I study what is called the Inner Universe, which I'm assured is far larger than the physical, and this post, becomes clear. To ""see"" it, we must use, of course, inner senses. Cool!",view comment
44,,Dave Johnson,1045895855,03/05/23 18:12:11,,,Absolutely tired of seeing this regurgitating fool.,view comment
45,,Mike Pierce,100000647151202,03/05/23 21:06:58,,,Go away,view comment
46,,Thomas Cork,631121896,03/05/23 23:08:21,10,,"Food for thought. You can't say 96% of something, you can't say 50% of something, when the full total of that something is unknown. Space is endless, which allows us to theorize that the amount of matter is also endless. Therefore we know NOTHING about space in the overall grand scheme of it.",view comment
47,,Luis Vazquez,100011041863620,04/05/23 02:20:18,,,This dudes an alien,view comment
48,,Julian Grubbs,1383224506,04/05/23 04:06:52,,,His favorite tie,view comment
49,,Tom Hoosac,100012599910331,04/05/23 04:40:24,,,"On the surface sounds like something that was ""created"" to satisfy current theories.  Problems with the definition of energy and matter.  and probably throw in some speed of light.",view comment
50,,Lawrence Kara,100001704884721,04/05/23 04:53:23,,,"Where does this guy get his information from,that's right its theory",view comment
51,,Jerry Reisman,1784560409,04/05/23 14:49:24,,,Yet u say science will fully understand the human brain by 2050. Not likely,view comment
52,,Robert Figuero,100024240361764,04/05/23 17:43:27,,,Isn’t God amazing??,view comment
53,,Slavko Polovina,100001333286389,04/05/23 18:30:51,15,,Tyson is lost. There is no Dark Energy. He doesn't understand how Electromagnetism works.,view comment
54,,Daniel Todd,100007352171467,04/05/23 18:38:33,2,,And for this reason I can’t say there is not a God of some sort. Not saying there is but………,view comment
55,,Dilip Sharma,100000061581313,04/05/23 19:31:14,25,,If you stopped strutting in pride of data n instead humbly sought God.....he would show you the reality of the universe,view comment
56,,Gyorgy Porkolab,100002072151929,05/05/23 02:58:07,,,Is Dark Energy related to the Energy of Empty Space?,view comment
57,,Jean White,1650618041,05/05/23 16:48:26,,,Krista Hook,view comment
58,,Ferlon Self,100001449771901,06/05/23 02:20:14,7,,He's trying to teach a lot of things that has no truth behind it such as the speed of light they keep teaching this saying it's the fastest thing known  to man wrong and a lot of theories that they're teaching today is all based on what Einstein said so really they have not gotten any smarter most everything that has been discovered has been discovered by accident doesn't say much for mankind does it,view comment
59,,Joe Abrams,1431604394,06/05/23 10:42:57,,,I wish there was a way to block every post with this guy.,view comment
60,,Larry Dresser,100088239244481,06/05/23 18:30:29,,,You are dark energy atheist,view comment
61,,Michael Murphy,100005894641208,06/05/23 20:09:52,,,"Is it possible that the 4% we think we understand actually has properties we haven’t yet discovered, but we give them the names “dark energy” and “dark matter” just to fill in the blanks?",view comment
62,,Maho Shing,1576206841,07/05/23 00:25:21,1,,Yes the knowledge and information available to the human is infinitesimally small. Firstly the human existence is within the very small physical dimension.,view comment
63,,Steve Clark,100001291723743,07/05/23 02:34:43,,,"""The saddest aspect of life right now is that science gathers knowledge faster than society gathers wisdom."" Isaac Asimov",view comment
64,,Marc Schoonover,100000926586347,07/05/23 11:38:20,,,"Of we don't understand 96$ of the universe how can you confidently proclaim all the things about galaxies, solar systems, and physics across the universe?  We don't even know of physics remains the same in distant galaxies that have different stars from our own. Nothing out in the universe, that scientists proclaim, can be verified, so ots all THEORY. And while THEORY may be cult upon things we already know, theories of the universe are incomplete. Because we are going off of things qe have proven here, on earth or in our own solar system, with a yellow sun. Now I'm not saying that physics differs if there is a different sun, what I'm saying .... until we go exploring out there, NOTHING CAN BE ASSUMED AS FACT out in the universe! It's just not possible",view comment
65,,Kurt Wallenhorst,100007343891037,07/05/23 14:45:39,,,"What is Dark Energy?Dark energy is a hypothetical form of energy that is believed to permeate all of space and accelerate the expansion of the universe. It was first proposed in the late 1990s when astronomers were studying supernovae and discovered that they were accelerating away from each other at an increasing rate. Dark energy is thought to make up about 68% of the total energy density of the universe, with dark matter accounting for another 27%, leaving only 5% for ordinary matter.The nature of dark energy remains one of the biggest mysteries in modern physics. There are several theories about what it could be, but none have been proven conclusively. One possibility is that it is a property of space itself, known as vacuum energy or the cosmological constant. Another theory suggests that it could be a new type of field, similar to the Higgs field that gives particles mass. Yet another possibility is that it could be related to modifications of gravity on cosmic scales.The existence of dark energy was first inferred from observations of distant supernovae by two independent teams in 1998. Since then, numerous other observations have supported this conclusion, including measurements of the cosmic microwave background radiation, large-scale galaxy clustering, and gravitational lensing.Understanding dark energy is crucial for understanding the ultimate fate of the universe. If dark energy continues to accelerate the expansion of the universe, eventually all galaxies will be so far apart that they will no longer be visible from each other. This scenario, known as the ""Big Freeze,"" would result in a cold and dark universe where no new stars could form.???? ???? ?? ????????-???????????????? ???????? ????????. ?????? ???????????? ???? ???? ???????????? ?????? ???????????????? ?????? ???? ???????? ???? ?????????????? ????????, ???????????? ?????? ?????????????? ?????????????? ???? ?????? ?????????? ???????? ??????. ?? ???? ?????? ??? ?????? ???????? ?????? ?????????????????? ???? ?????? ????? ?????? ?????????? ?????? ??????????????. ?? ???? ??????????????.",view comment
66,,Daniel Allen Burdick,1679440581,07/05/23 15:15:46,,,????????????????????????,view comment
67,,Gilbert Munda,100000141776355,07/05/23 15:17:01,6,,"And after that knowledge or lack thereof, you have the gut to question God's wisdom and the audacity to try to understand His work?  You believe in dark energy and dark matter without a single shred of evidence and you dare to question the evidence of God's creation.",view comment
68,,Tom Geffers,1488544460,07/05/23 16:11:28,1,,So he admits he doesn't understand 96% of the universe yet he preaches about creation and evolution.,view comment
69,,John B Nemec,597127163,07/05/23 17:52:12,,,So we really know NOTHING and our physics is totally inadequate.??,view comment
70,,Joe Trigone,100002114655435,08/05/23 02:21:17,,,Wow!  Just like the ocean. ??,view comment
71,,Steve Uveges,1572160799,09/05/23 17:36:46,,,They just make this shit up as they go along.   The only dark matter Neil has is the shit for his brains!,view comment
72,,Bob Stafford,100073330548033,09/05/23 18:52:15,,,When did the theory of dark matter and dark energy become a scientific fact?  I really don't think today's scientific community is as brilliant as they they are putting on..,view comment
73,,TRUELIFEMUSIC TV,100057688155011,11/05/23 04:50:36,1,,The Gang Stalking and The Targeted Individual GroupEncyclopedia of Science,view comment
74,,JeremyandBrandi Winter,672140480,13/05/23 16:25:31,,,"That is a lot of faith to believe in all that! You can't see it, touch it, sense it, and it makes up 96% and we don't understand it...but it's there",view comment
75,,William Clark,100000748420630,14/05/23 04:47:35,,,God drives the Universe!!,view comment
76,,Romualdo Peniera,1804634635,14/05/23 07:37:24,,,...and yet he parrot the doom of climate alarmists !,view comment
77,,Julian Lawler,1035163455,19/05/23 18:45:14,,,Amazing information,view comment
78,,Musk Crystal,100000057197331,20/05/23 08:50:34,,,You are the ultimate ass hole physisist,view comment
79,,Barbara Rogers,100005879650762,21/05/23 14:17:53,,,Vicki Burke,view comment
80,,Nathanio Antonio,100028248060342,23/05/23 01:29:18,,,How do you know kuti it's 4% if you don't understand the greater part,view comment
81,,Armand Zaharescu,657737807,23/05/23 18:50:53,,,"yeah, no...it is the 96% base on the ability we have to see in that 4%. But if the universe is infinite that 4% will start with 0.00000...  :)",view comment
82,,Peter Piurko,817064805,25/05/23 23:37:04,,,You could say anything - nobody knows ????,view comment
83,,Alexis Doyen,1765590353,27/05/23 10:08:45,,,"96% of the universe has not been understood yet, but somehow, you managed to understand that there's no God?",view comment
84,,James Turner,522920142,30/05/23 04:55:09,,,Neil... your statements says there IS Dark Energy. Where is the proof?,view comment
85,,Steven Kraatz,100001280504709,31/05/23 01:34:33,,,??,view comment
86,,Ashish Sengupta,1801878314,01/06/23 17:01:32,,,"How sure are you that, what you think is 100%, is REALLY the 100%?",view comment
87,,Marc Ross,789970899,01/06/23 20:35:25,,,Empty space being filled. Diffusion is not a new concept Neil deGrasse Tyson,view comment
88,,Martha Rooks Geoghegan,100000032181196,01/06/23 20:56:12,,,You need a better cameraman.,view comment
89,,Jackson Nizeyimana,100034371494553,02/06/23 09:23:27,,,"Finally got what to be watching on Facebook
[PHOTO] https://scontent-ssn1-1.xx.fbcdn.net/v/t39.30808-6/351001860_271324111926832_1302303950016535952_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=UTugOucs26MQ7kNvgGTc4ln&_nc_ht=scontent-ssn1-1.xx&oh=00_AfDokcliQm25jnnKswDHT8Ur8Ts6zYCEe7j0Iregbps0ww&oe=66345151",view comment
90,,Ez Marc Poschman,776448685,03/06/23 00:29:40,,,Where do these percentages come from?,view comment
91,,Jack Smiley,100084342835256,05/06/23 02:04:44,,,Doubke-talk. No such thing as dark energy.,view comment
92,,Allen Evans,100077256386211,07/06/23 03:15:36,,,#needmohaters ??,view comment
93,,Wall Flowers,100002568852151,07/06/23 07:31:20,,,Theory is not fact. Where's the proof regarding dark matter?,view comment
94,,Richard Raftus,658275861,12/06/23 03:55:05,,,it is Theory alone not proven.,view comment
95,,Rachel Allen Wayment,100001866034391,14/06/23 20:32:09,,,"I'm eating a Hershey's Special Dark mini and all I heard was ""70% dark""...",view comment
96,,Tom Smith,100000111060385,17/06/23 23:38:22,,,FAKE!!!!!!!!!,view comment
97,,Chris Erickson,100002073005222,20/06/23 17:30:17,,,Made up words buddy!,view comment
98,,Brice Kusa,100092755903477,02/07/23 19:47:43,,,Man he's got the god nuts pissed on this one. Can I say that fakebook?,view comment
99,,Prakash Govindwar,100008043698322,25/03/24 11:41:28,,,Matter of Soul of all matters exist in universe is explained as follows......Dark matter demystified As followshttps://youtu.be/tJgviYcWfJI?si=h2OD4L2tEPEc_YS6,view comment
,,,,,,,,
